pair,cat_set,an_set,formula,score
51-50-82 × 16,51-50-82,16,(Sb0.42Sn0.28Pb0.30)2(S1.00)3,-0.11520985999101369
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.30Pb0.20)2(S1.00)3,-0.17062918952238987
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.22Pb0.24)2(S1.00)3,-0.1828567487006874
51-50-82 × 16,51-50-82,16,(Sb0.76Sn0.02Pb0.22)2(S1.00)3,-0.2493935316107822
51-50-82 × 16,51-50-82,16,(Sb0.58Sn0.12Pb0.30)2(S1.00)3,-0.1942347670653765
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.30Pb0.18)2(S1.00)3,-0.18470175342915612
51-50-82 × 16,51-50-82,16,(Sb0.59Sn0.16Pb0.25)2(S1.00)3,-0.2069363247311879
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.30Pb0.18)2(S1.00)3,-0.18470175342915612
51-50-82 × 16,51-50-82,16,(Sb0.60Sn0.30Pb0.10)2(S1.00)3,-0.22823929444112007
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.16Pb0.30)2(S1.00)3,-0.17524639771923395
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
51-50-82 × 16,51-50-82,16,(Sb0.58Sn0.12Pb0.30)2(S1.00)3,-0.1942347670653765
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.30Pb0.18)2(S1.00)3,-0.18470175342915612
51-50-82 × 16,51-50-82,16,(Sb0.69Sn0.06Pb0.24)2(S1.00)3,-0.23929749800889927
51-50-82 × 16,51-50-82,16,(Sb0.44Sn0.26Pb0.30)2(S1.00)3,-0.12559363046668637
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.18Pb0.30)2(S1.00)3,-0.16575988658855606
51-50-82 × 16,51-50-82,16,(Sb0.42Sn0.30Pb0.28)2(S1.00)3,-0.11719843963289767
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.74Sn0.04Pb0.22)2(S1.00)3,-0.24591091745809507
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.30Pb0.20)2(S1.00)3,-0.17062918952238987
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.20Pb0.30)2(S1.00)3,-0.15623706241026786
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.30Pb0.20)2(S1.00)3,-0.17062918952238987
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.14Pb0.30)2(S1.00)3,-0.18477991453856207
51-50-82 × 16,51-50-82,16,(Sb0.62Sn0.08Pb0.30)2(S1.00)3,-0.21053278406200665
51-50-82 × 16,51-50-82,16,(Sb0.84Sn0.06Pb0.10)2(S1.00)3,-0.2787359836292394
